seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,87,4.324209928512573,0.9674712961192212,0.9766081871345028,0.9835164835164836,0.9523809523809524,0.9964726631393299,0.9712409751653842,0.9715608465608465,0.9497861203768028,,,,0.28735632183908044,0.0,breast_cancer,ctgan
123,87,3.4639570713043213,0.950004145421382,0.9619883040935672,0.925536967245764,0.9761904761904762,0.9884259259259259,0.9648416502761652,0.9649470899470899,0.9204771761602645,,,,0.22988505747126436,0.0,breast_cancer,ctgan
456,87,3.186567783355713,0.9204053336214425,0.9415204678362573,0.9208513708513708,0.9206349206349206,0.9896384479717812,0.9368122094580061,0.9371693121693122,0.8745964220853636,,,,0.25287356321839083,0.0,breast_cancer,ctgan
789,87,3.2805747985839844,0.9807538091419407,0.9853801169590644,0.9626262626262626,1.0,0.9996693121693122,0.9883194358519435,0.9884259259259259,0.9696980083643242,,,,0.27586206896551724,0.0,breast_cancer,ctgan
1234,87,3.28117036819458,0.9645114233234154,0.9736842105263158,0.9612061380354063,0.9682539682539683,0.9905202821869489,0.9724860808885035,0.9725529100529101,0.9438768378438939,,,,0.45977011494252873,0.0,breast_cancer,ctgan
2024,87,3.271061897277832,0.9395487978471597,0.9532163742690057,0.914122725871107,0.9682539682539683,0.996031746031746,0.9561237269534374,0.9563492063492064,0.9035972571999341,,,,0.3218390804597701,0.0,breast_cancer,ctgan
3141,87,3.3170340061187744,0.9636524310750628,0.9736842105263158,0.9759878994138779,0.9523809523809524,0.998126102292769,0.968933857742154,0.9692460317460317,0.9436726811893101,,,,0.2413793103448276,0.0,breast_cancer,ctgan
4242,87,3.2208900451660156,0.9436270333860696,0.956140350877193,0.9151570048309178,0.9761904761904762,0.9904100529100529,0.9599634093043393,0.9603174603174603,0.9105123711985795,,,,0.3218390804597701,0.0,breast_cancer,ctgan
5555,87,3.3147289752960205,0.9602184648959985,0.9707602339181287,0.9602994534928738,0.9603174603174603,0.9936067019400353,0.968496257047355,0.9685846560846562,0.9372152467577108,,,,0.20689655172413793,0.0,breast_cancer,ctgan
6789,87,3.2758989334106445,0.9516066589237321,0.9649122807017544,0.9674603174603175,0.9365079365079364,0.9904100529100529,0.958689402378636,0.958994708994709,0.9245464705971167,,,,0.27586206896551724,0.0,breast_cancer,ctgan
