seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,87,375.9093060493469,0.9633572790754362,0.9736842105263158,0.9835164835164836,0.9444444444444445,0.9964726631393299,0.9671998261284441,0.9675925925925926,0.9435824544732246,,,,0.9354838709677419,0.0,breast_cancer,qualsynth
123,87,739.2947599887848,0.9572275421796625,0.9678362573099415,0.9390415785764623,0.9761904761904762,0.9875440917107584,0.9695485729646732,0.9695767195767195,0.9319586224688989,,,,0.8055555555555556,0.0,breast_cancer,qualsynth
456,89,489.4820110797882,0.9206349206349206,0.9444444444444443,0.9492063492063493,0.8968253968253969,0.9933862433862434,0.9328268814366415,0.9345238095238096,0.8806155514279693,,,,0.7606837606837606,0.0,breast_cancer,qualsynth
789,89,408.79306173324585,0.9805745554035568,0.9853801169590644,0.969520789288231,0.9920634920634921,0.9993386243386243,0.9867506563590845,0.9867724867724869,0.969135213433181,,,,0.8240740740740741,0.0,breast_cancer,qualsynth
1234,90,554.92147397995,0.9400425230333097,0.9561403508771931,0.9438457175269427,0.9365079365079366,0.992173721340388,0.951837652525973,0.9520502645502645,0.9056325438573939,,,,0.6766917293233082,0.0,breast_cancer,qualsynth
2024,87,486.50250697135925,0.9604097060510951,0.9707602339181287,0.960686600221484,0.9603174603174603,0.9977954144620811,0.9685209549171298,0.9685846560846562,0.9373450652551861,,,,0.8055555555555556,0.0,breast_cancer,qualsynth
3141,88,804.0759737491608,0.9679531071687935,0.976608187134503,0.9765596160944998,0.9603174603174603,0.9965828924162258,0.9729888984062939,0.9732142857142857,0.950118024063734,,,,0.7586206896551724,0.0,breast_cancer,qualsynth
4242,89,505.1638870239258,0.9608722166367247,0.9707602339181287,0.9540169133192388,0.9682539682539683,0.9890873015873017,0.9701989073957922,0.9702380952380952,0.9378668869893166,,,,0.7295081967213115,0.0,breast_cancer,qualsynth
5555,87,509.5168800354004,0.9682539682539683,0.9766081871345028,0.9682539682539683,0.9682539682539683,0.9959215167548501,0.9748423194505298,0.974867724867725,0.9497354497354498,,,,0.7837837837837838,0.0,breast_cancer,qualsynth
6789,91,315.73684191703796,0.9562057754828839,0.9678362573099415,0.9601238869531552,0.9523809523809522,0.9947089947089948,0.9645333966734394,0.964616402116402,0.9308487028987456,,,,0.9285714285714286,0.0,breast_cancer,qualsynth
