seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,87,0.8939101696014404,0.9635579354454856,0.9736842105263158,0.983739837398374,0.9444444444444443,0.9947089947089948,0.9672742323675211,0.9675925925925926,0.9436114899810356,,,,0.896551724137931,0.0,breast_cancer,smote
123,87,0.7787792682647705,0.9391218074439829,0.9532163742690059,0.9050899061537359,0.9761904761904762,0.9878747795414462,0.9577891552351567,0.9580026455026456,0.90316437025713,,,,0.9310344827586207,0.0,breast_cancer,smote
456,87,0.7653031349182129,0.9441564577638285,0.9590643274853802,0.9440482943035411,0.9444444444444445,0.9939373897707231,0.9558429104183559,0.9560185185185185,0.9119582380215783,,,,0.9195402298850575,0.0,breast_cancer,smote
789,87,0.7862420082092285,0.9806626098715349,0.9853801169590642,0.9622739018087856,1.0,0.9996693121693122,0.9883358527804639,0.9884259259259259,0.96952789257536,,,,0.896551724137931,0.0,breast_cancer,smote
1234,87,0.7447202205657959,0.9438626817168242,0.9590643274853802,0.9517725467952354,0.9365079365079366,0.9908509700176366,0.9540918830795233,0.9543650793650794,0.911989710373669,,,,0.8850574712643678,0.0,breast_cancer,smote
2024,87,0.7527120113372803,0.9617624101421359,0.9707602339181287,0.9415458937198068,0.9841269841269842,0.9975749559082893,0.9733561524864095,0.9735449735449736,0.9395094861187413,,,,0.9425287356321839,0.0,breast_cancer,smote
3141,87,0.7510700225830078,0.9757962444236954,0.9824561403508771,0.984311554078996,0.9682539682539684,0.9961419753086419,0.9792645468316512,0.9794973544973545,0.9626243372747517,,,,0.896551724137931,0.0,breast_cancer,smote
4242,87,0.740182638168335,0.9537493158182814,0.9649122807017543,0.9328042328042327,0.9761904761904762,0.9896384479717814,0.9671702645550146,0.9672619047619048,0.9264653862459217,,,,0.8850574712643678,0.0,breast_cancer,smote
5555,87,0.7531440258026123,0.9682539682539683,0.9766081871345028,0.9682539682539683,0.9682539682539683,0.9968033509700177,0.9748423194505298,0.974867724867725,0.9497354497354498,,,,0.9310344827586207,0.0,breast_cancer,smote
6789,87,0.7592298984527588,0.9383200778549616,0.9532163742690059,0.9179214505301462,0.9603174603174601,0.9885361552028219,0.9546081093481759,0.9546957671957671,0.901690251332305,,,,0.9195402298850575,0.0,breast_cancer,smote
