seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,240,4.088558197021484,0.531211709543855,0.7233333333333333,0.5412083483390784,0.5222222222222223,0.7237698412698412,0.6500845557466017,0.6658730158730158,0.3354709626427228,0.07548191466320121,0.09848484848484847,0.19696969696969693,0.7666666666666667,0.0,german_credit,ctgan
123,240,3.1991562843322754,0.5786853117220191,0.7483333333333334,0.5804832526230831,0.5777777777777778,0.7943650793650793,0.68838327663022,0.6996031746031747,0.3996934176686568,0.2003045404208195,0.2124974762770038,0.4375231830368252,0.7916666666666666,0.0,german_credit,ctgan
456,240,3.1879489421844482,0.5368510062573989,0.685,0.48462297392529957,0.6055555555555556,0.719047619047619,0.6591068896961673,0.6623015873015873,0.308777103378508,0.08457918050941304,0.07126993741166972,0.16916909312990613,0.8916666666666667,0.0,german_credit,ctgan
789,240,3.1975059509277344,0.6220761232914452,0.7450000000000001,0.5601506022188009,0.7000000000000001,0.7858730158730158,0.7312289372399555,0.7321428571428572,0.4396371195826265,0.0,0.0,0.0,0.8958333333333334,0.0,german_credit,ctgan
1234,240,3.191011905670166,0.5850194644364476,0.7416666666666667,0.5662605544009719,0.6055555555555556,0.7810317460317461,0.696016499656681,0.7027777777777778,0.398503284959586,0.02615334632878492,0.1547619047619048,0.3095238095238096,0.8541666666666666,0.0,german_credit,ctgan
2024,240,3.2067110538482666,0.6223827458764131,0.725,0.5314844013206658,0.7555555555555555,0.8098809523809525,0.7319528592359515,0.7337301587301588,0.43469922647427456,0.11921562611852533,0.14845782237086586,0.2969156447417317,0.8458333333333333,0.0,german_credit,ctgan
3141,240,3.2663989067077637,0.5458543729643474,0.7383333333333333,0.5777777777777778,0.5277777777777778,0.7562301587301588,0.6581305442072286,0.6781746031746033,0.36842587680418726,0.15310782844501533,0.13716356107660457,0.30621565689003066,0.975,0.0,german_credit,ctgan
4242,240,3.2103781700134277,0.5886900415338548,0.7533333333333333,0.5896458061712299,0.5888888888888889,0.8028174603174603,0.6961171640297396,0.7063492063492064,0.4130951408243486,0.041779584462511295,0.16666666666666666,0.3333333333333333,0.7833333333333333,0.0,german_credit,ctgan
5555,240,3.2032110691070557,0.5450785773366418,0.7133333333333333,0.5208333333333334,0.5722222222222223,0.7640476190476191,0.6652973982322786,0.673015873015873,0.33753380234430336,0.1162196679438059,0.15710382513661203,0.31420765027322406,0.8875,0.0,german_credit,ctgan
6789,240,3.183342695236206,0.5812919107036754,0.7283333333333332,0.5409761456371626,0.6333333333333333,0.8036507936507936,0.6957956174170351,0.7011904761904763,0.38709085320974523,0.0606060606060606,0.1339153439153439,0.2678306878306878,0.8791666666666667,0.0,german_credit,ctgan
