seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,240,1.2748386859893799,0.5469343359107138,0.7183333333333334,0.5351829089844893,0.5666666666666668,0.755436507936508,0.6644391783367576,0.6749999999999999,0.34659886839059123,0.08842321854017761,0.08238636363636365,0.1802392836749562,0.9833333333333333,0.0,german_credit,smote
123,240,1.1356019973754883,0.6107342784442021,0.7633333333333333,0.5993138317081979,0.6277777777777778,0.8122222222222222,0.7154586501136974,0.7246031746031747,0.4435144991262441,0.12236987818383166,0.0853018372703412,0.24473975636766332,0.9666666666666667,0.0,german_credit,smote
456,240,1.2311880588531494,0.5299027304062224,0.69,0.4874306280067235,0.5833333333333334,0.7362698412698414,0.6539915007051168,0.6595238095238095,0.30542235550005864,0.09523809523809523,0.08045628911770646,0.19047619047619047,0.975,0.0,german_credit,smote
789,240,1.1523890495300293,0.6166895741591559,0.745,0.5630258625374945,0.6833333333333332,0.8023015873015873,0.725662137608278,0.7273809523809525,0.4336299660658172,0.0,0.0,0.0,0.9708333333333333,0.0,german_credit,smote
1234,240,1.149641990661621,0.5361430589184827,0.7233333333333333,0.5422192749778957,0.5333333333333333,0.781904761904762,0.6542403620999601,0.669047619047619,0.34055900470014905,0.08219623131903835,0.09027777777777778,0.19390296729478015,0.9791666666666666,0.0,german_credit,smote
2024,240,1.1273760795593262,0.6214034282216101,0.7516666666666666,0.5783318791997673,0.6777777777777777,0.7940873015873016,0.7271879526274412,0.7305555555555556,0.44463547602744286,0.10397811525285065,0.13049671745323918,0.26099343490647836,0.9708333333333333,0.0,german_credit,smote
3141,240,1.1308159828186035,0.5514328089411514,0.7166666666666667,0.5282738095238095,0.5833333333333334,0.7655158730158731,0.6695969174636008,0.6785714285714285,0.3491959598923838,0.07849853707271819,0.03941804515238271,0.15699707414543637,0.9958333333333333,0.0,german_credit,smote
4242,240,1.1443209648132324,0.6004245298780049,0.7533333333333333,0.5841867841867842,0.6222222222222221,0.8109523809523808,0.7079135388985418,0.7158730158730159,0.4249495839479515,0.03432700993676604,0.05383022774327123,0.12226402284726783,0.9791666666666666,0.0,german_credit,smote
5555,240,1.131810188293457,0.5671747991059344,0.7083333333333334,0.5106747367342904,0.638888888888889,0.769126984126984,0.6860388487954964,0.6884920634920636,0.35689236064443586,0.0630167372454124,0.11045353726852557,0.2266470302381165,0.9583333333333334,0.0,german_credit,smote
6789,240,1.1195380687713623,0.557298975209423,0.7083333333333334,0.5183792815371763,0.6111111111111112,0.8027777777777777,0.6749183444033345,0.6805555555555557,0.3486510015071014,0.03440656565656566,0.13105820105820107,0.26211640211640214,0.975,0.0,german_credit,smote
