seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,240,1.505478858947754,0.5513105029075257,0.7133333333333334,0.5314142880180617,0.5888888888888889,0.7618253968253968,0.6667469741437246,0.6777777777777777,0.3505427104661107,0.12042451808533679,0.12405303030303032,0.27535712879280133,0.7125,0.25,german_credit,tabfairgdt
123,240,1.5103209018707275,0.5929634693103457,0.7516666666666666,0.5866717489358998,0.6111111111111112,0.8107142857142856,0.700214985978266,0.7115079365079365,0.42053388332952196,0.07987264673311184,0.05438679139466542,0.15974529346622368,0.6541666666666667,0.275,german_credit,tabfairgdt
456,240,1.5481431484222412,0.5202457264957264,0.6766666666666666,0.4777777777777778,0.5833333333333334,0.7287698412698412,0.6425020931739152,0.65,0.28912375578616684,0.09440753045404209,0.059378154653745185,0.18881506090808417,0.6708333333333333,0.2833333333333333,german_credit,tabfairgdt
789,240,1.4744019508361816,0.6180149623535638,0.745,0.5696235529451821,0.6833333333333332,0.809126984126984,0.7241680183916258,0.7273809523809524,0.4370990127991698,0.0,0.0,0.0,0.6916666666666667,0.22916666666666666,german_credit,tabfairgdt
1234,240,1.5633158683776855,0.5209996793330127,0.715,0.5342735042735044,0.5166666666666667,0.7636507936507937,0.6404801218619754,0.6583333333333333,0.3223866727127204,0.07239549491011478,0.06944444444444445,0.17327268789257091,0.6625,0.2791666666666667,german_credit,tabfairgdt
2024,240,1.5219841003417969,0.601326132671233,0.7283333333333334,0.5464015151515151,0.6833333333333332,0.7911904761904762,0.7101695717253186,0.7154761904761905,0.41273436041565253,0.08720662678324897,0.11780007432181346,0.2356001486436269,0.6875,0.2375,german_credit,tabfairgdt
3141,240,1.4520251750946045,0.5537743856061534,0.715,0.5311559252171687,0.5944444444444444,0.7775,0.6694313410035747,0.6805555555555557,0.3545420859630312,0.07368158138871049,0.048323495516237734,0.14736316277742098,0.6791666666666667,0.2875,german_credit,tabfairgdt
4242,240,1.5593631267547607,0.5981445731445731,0.7583333333333334,0.6040221216691805,0.6055555555555556,0.8011904761904761,0.702158701455434,0.7146825396825397,0.43210183817175635,0.03873080397470641,0.06895781693128783,0.16310239189348416,0.7125,0.225,german_credit,tabfairgdt
5555,240,1.5013461112976074,0.5809272287445348,0.7166666666666668,0.5303699736689427,0.6555555555555556,0.7811111111111112,0.6935465683949463,0.699206349206349,0.382173110553615,0.036969819183975274,0.10277020230181823,0.20554040460363646,0.625,0.31666666666666665,german_credit,tabfairgdt
6789,240,1.5143790245056152,0.5549124240821756,0.7116666666666666,0.5381211092246746,0.5944444444444444,0.788968253968254,0.6672122755968529,0.6781746031746031,0.35434665352845834,0.07859848484848485,0.13656084656084655,0.2731216931216931,0.6208333333333333,0.275,german_credit,tabfairgdt
