seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,85,1.2920920848846436,0.2680509413067553,0.5698924731182796,0.23992852501624432,0.3125,0.5484601449275363,0.44586656513898654,0.4859601449275362,-0.02689606561963981,,,,1.0,0.0,haberman,ctgan
123,85,1.2929189205169678,0.28980348535409717,0.6397849462365591,0.2920377867746289,0.2916666666666667,0.6046195652173912,0.46311860763287416,0.5262681159420289,0.05036647116969837,,,,0.5529411764705883,0.0,haberman,ctgan
456,85,1.288681983947754,0.4913968964110356,0.6989247311827956,0.45445912112578774,0.5625,0.688179347826087,0.6413930996805145,0.6544384057971014,0.296166222852901,,,,0.8470588235294118,0.0,haberman,ctgan
789,85,1.2747900485992432,0.40392156862745104,0.6021505376344086,0.33877995642701525,0.5208333333333334,0.5692934782608696,0.564909187008887,0.5756340579710145,0.13957529928911375,,,,0.8352941176470589,0.0,haberman,ctgan
1234,85,1.279695987701416,0.49739089739089737,0.7150537634408604,0.4613494520615264,0.5416666666666666,0.7010869565217391,0.6480236013951147,0.6585144927536232,0.3032324736889291,,,,0.788235294117647,0.0,haberman,ctgan
2024,85,1.27876615524292,0.4391045180518865,0.6935483870967744,0.4181096681096681,0.4791666666666667,0.7013134057971014,0.5982553658927403,0.623641304347826,0.2374715893983862,,,,0.8235294117647058,0.03529411764705882,haberman,ctgan
3141,85,1.294863224029541,0.49373433583959897,0.6774193548387096,0.4184149184149184,0.6041666666666666,0.691123188405797,0.651615698225206,0.6535326086956522,0.27903355199944363,,,,0.5764705882352941,0.0,haberman,ctgan
4242,85,1.2889351844787598,0.41855921855921857,0.6612903225806451,0.3729977116704805,0.4791666666666667,0.6019021739130435,0.58564434030768,0.6019021739130435,0.18849444411968577,,,,0.9529411764705882,0.011764705882352941,haberman,ctgan
5555,85,1.2826528549194336,0.37107562107562114,0.5913978494623656,0.3304738562091503,0.4375,0.572463768115942,0.5298785144459087,0.541213768115942,0.0850259375445034,,,,0.6,0.023529411764705882,haberman,ctgan
6789,85,1.2722821235656738,0.4808080808080808,0.7311827956989246,0.484593837535014,0.4791666666666667,0.7219202898550724,0.626231476342213,0.6490036231884058,0.3003943987691959,,,,0.8470588235294118,0.011764705882352941,haberman,ctgan
