seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,86,34.676451206207275,0.28243727598566304,0.6451612903225806,0.29523809523809524,0.2708333333333333,0.5815217391304347,0.4576668038352851,0.5230978260869565,0.047469798484793074,,,,0.7962962962962963,0.0,haberman,qualsynth
123,86,39.18952775001526,0.42836384771868646,0.6827956989247311,0.3904761904761904,0.4791666666666667,0.6064311594202899,0.5901770028897859,0.6163949275362319,0.21558141206965564,,,,0.6187050359712231,0.0,haberman,qualsynth
456,93,48.94951295852661,0.4150326797385621,0.6666666666666666,0.3796296296296296,0.4583333333333333,0.6424365942028986,0.5817025345804554,0.5987318840579711,0.18668405924234466,,,,0.6283783783783784,0.0,haberman,qualsynth
789,89,49.35716199874878,0.41441441441441446,0.6505376344086021,0.36507936507936506,0.4791666666666667,0.6286231884057971,0.5821391064314055,0.5946557971014492,0.1750308267487601,,,,0.7478991596638656,0.0,haberman,qualsynth
1234,89,37.99482703208923,0.44118605408927986,0.7150537634408604,0.44575163398692813,0.4375,0.7047101449275361,0.5948523775579628,0.6245471014492754,0.2503639045654436,,,,0.7355371900826446,0.0,haberman,qualsynth
2024,85,27.713233947753906,0.3579887545404787,0.6881720430107526,0.39077425842131724,0.3333333333333333,0.6632699275362319,0.5197292511103128,0.572463768115942,0.15590929349888552,,,,0.9239130434782609,0.0,haberman,qualsynth
3141,90,33.6699903011322,0.5035371132932108,0.6881720430107526,0.43852187028657613,0.6041666666666666,0.6961050724637682,0.6562444814010765,0.6607789855072465,0.2980031685930753,,,,0.7563025210084033,0.0,haberman,qualsynth
4242,87,48.54644298553467,0.3599747474747475,0.6720430107526884,0.36712184873949577,0.3541666666666667,0.6028079710144928,0.5244297953805942,0.5683876811594203,0.14010265393783103,,,,0.7909090909090909,0.0,haberman,qualsynth
5555,85,37.50221228599548,0.4807440925087984,0.6989247311827956,0.43440122044241036,0.5416666666666666,0.697463768115942,0.6369669231788692,0.6476449275362318,0.27714408464284485,,,,0.8415841584158416,0.0,haberman,qualsynth
6789,89,39.356767892837524,0.4061728395061728,0.6666666666666666,0.41826156299840517,0.4166666666666667,0.6929347826086955,0.5594827334427959,0.5851449275362318,0.18483732917723153,,,,0.7235772357723578,0.0,haberman,qualsynth
