seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,85,0.667492151260376,0.19598164627363737,0.6021505376344086,0.2060897435897436,0.1875,0.5597826086956522,0.37403178836994777,0.4669384057971014,-0.0674014146761062,,,,0.8,0.2,haberman,smote
123,85,0.6704809665679932,0.40945945945945955,0.6290322580645161,0.34722222222222215,0.5,0.6381340579710145,0.5794696922954728,0.5869565217391305,0.15739720531370213,,,,0.7647058823529411,0.2235294117647059,haberman,smote
456,85,0.6710457801818848,0.41579520697167754,0.6559139784946236,0.36944444444444446,0.4791666666666667,0.6397192028985508,0.5833611330984971,0.5982789855072462,0.18207979093338592,,,,0.7058823529411765,0.2823529411764706,haberman,smote
789,85,0.6702630519866943,0.3581196581196581,0.5645161290322581,0.2883454106280193,0.4791666666666667,0.5674818840579711,0.5274815377936849,0.5366847826086957,0.06481187860834713,,,,0.8,0.2,haberman,smote
1234,85,0.6713590621948242,0.4867808985456044,0.7043010752688174,0.44285714285714284,0.5416666666666666,0.6947463768115941,0.641784926269937,0.6512681159420289,0.28545191421652966,,,,0.7647058823529411,0.23529411764705882,haberman,smote
2024,85,0.6732258796691895,0.36509971509971506,0.60752688172043,0.31413043478260866,0.4375,0.5953351449275363,0.5373538901463114,0.5520833333333334,0.09532768516663637,,,,0.6705882352941176,0.32941176470588235,haberman,smote
3141,85,0.6726419925689697,0.48179271708683474,0.6666666666666666,0.41595441595441596,0.5833333333333334,0.6779891304347826,0.6362209648851644,0.6394927536231885,0.259005591908176,,,,0.7411764705882353,0.24705882352941178,haberman,smote
4242,85,0.6746468544006348,0.3272058823529412,0.6451612903225806,0.32175925925925924,0.3333333333333333,0.5620471014492754,0.5009454431850484,0.5434782608695653,0.0865978102177457,,,,0.7647058823529411,0.21176470588235294,haberman,smote
5555,85,0.6698911190032959,0.5335335335335335,0.7204301075268816,0.46618357487922707,0.625,0.691123188405797,0.6828233967181326,0.6893115942028984,0.3479041477636638,,,,0.7647058823529411,0.23529411764705882,haberman,smote
6789,85,0.6625311374664307,0.4266756635177688,0.6612903225806451,0.38932806324110675,0.4791666666666667,0.6879528985507246,0.5888705484152266,0.6019021739130435,0.19541505005741486,,,,0.7058823529411765,0.29411764705882354,haberman,smote
