seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,85,0.7648360729217529,0.29482846902201737,0.6129032258064516,0.2812865497076023,0.3125,0.5602355072463768,0.4719167693448936,0.514945652173913,0.030364822764505806,,,,0.8117647058823529,0.18823529411764706,haberman,tabfairgdt
123,85,0.7689919471740723,0.36935366739288306,0.6935483870967744,0.39369889369889366,0.3541666666666667,0.6068840579710146,0.5313088178819712,0.5828804347826088,0.17124093617642036,,,,0.7411764705882353,0.23529411764705882,haberman,tabfairgdt
456,85,0.7611181735992432,0.4572036150983519,0.6827956989247314,0.40998217468805703,0.5208333333333334,0.6709692028985507,0.6181945942146201,0.6299818840579711,0.242611309792929,,,,0.7294117647058823,0.25882352941176473,haberman,tabfairgdt
789,85,0.8199639320373535,0.3576998050682261,0.6129032258064516,0.3136363636363636,0.4166666666666667,0.5874094202898551,0.5325850652734433,0.5489130434782609,0.09057596486206676,,,,0.7411764705882353,0.24705882352941178,haberman,tabfairgdt
1234,85,0.7799539566040039,0.4845142602495544,0.7258064516129034,0.4704520697167756,0.5,0.6983695652173912,0.6334755389506249,0.6521739130434783,0.29847752786797255,,,,0.8470588235294118,0.1411764705882353,haberman,tabfairgdt
2024,85,0.7678182125091553,0.3600116245277536,0.6505376344086021,0.3323308270676692,0.3958333333333333,0.651947463768116,0.528574611656001,0.5674818840579711,0.12385255033349739,,,,0.8117647058823529,0.18823529411764706,haberman,tabfairgdt
3141,85,0.7745621204376221,0.43523698523698523,0.6559139784946236,0.3896348394430236,0.5,0.6843297101449276,0.5957768781322011,0.605072463768116,0.19990441970266018,,,,0.6823529411764706,0.2823529411764706,haberman,tabfairgdt
4242,85,0.7724490165710449,0.3322336265884653,0.6559139784946236,0.3315359477124183,0.3333333333333333,0.5815217391304347,0.5040115868630749,0.5507246376811595,0.10066134855878482,,,,0.8470588235294118,0.12941176470588237,haberman,tabfairgdt
5555,85,0.8170030117034912,0.5047989165636224,0.7150537634408604,0.4587301587301587,0.5625,0.6716485507246377,0.6567187230177343,0.6653079710144928,0.3114134244041448,,,,0.7647058823529411,0.21176470588235294,haberman,tabfairgdt
6789,85,0.7877371311187744,0.48112706007442857,0.7096774193548386,0.45008912655971484,0.5208333333333334,0.7010869565217391,0.6324459105745284,0.6480978260869565,0.2843385290003832,,,,0.8117647058823529,0.16470588235294117,haberman,tabfairgdt
