seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,8772,7.396660089492798,0.883602725366499,0.9795158286778398,0.9216475925826285,0.8485772357723578,0.9742928679286793,0.917823460762461,0.920649831498315,0.8732889809844965,,,,0.25262197902416783,0.0,htru2,ctgan
123,8772,6.308896064758301,0.8582584162270933,0.9730912476722532,0.8501478613040478,0.8719512195121951,0.9691446914469145,0.9258916424121647,0.9276217762177622,0.8451378744662817,,,,0.49202006383948926,0.0,htru2,ctgan
456,8772,6.512649059295654,0.8685142462111098,0.9769087523277467,0.9095001056506411,0.83130081300813,0.9671306088060881,0.9079160492047826,0.9114478644786447,0.8570007408250623,,,,0.27393980848153215,0.0,htru2,ctgan
789,8772,6.417784214019775,0.8629857817857974,0.9743016759776536,0.8563175871230416,0.8729674796747968,0.9755578805788058,0.9270362854291072,0.9287449124491246,0.8498361898838637,,,,0.4266985864113087,0.0,htru2,ctgan
1234,8772,6.388753890991211,0.874250419897823,0.9776536312849161,0.9029379300533188,0.8475609756097561,0.9761777305273052,0.9163644224219762,0.9191679416794168,0.8625945895273849,,,,0.39295485636114913,0.0,htru2,ctgan
2024,8772,6.370136737823486,0.8619415548254435,0.9749534450651769,0.8727249784980126,0.8516260162601625,0.9708928339283392,0.9169634612053329,0.9195091950919508,0.8483113218142755,,,,0.2694938440492476,0.0,htru2,ctgan
3141,8772,6.533349275588989,0.8821057860000862,0.9793296089385475,0.9232700742293334,0.8445121951219513,0.9815782532825329,0.9156827508556109,0.918719812198122,0.8718606842340989,,,,0.22788417692658458,0.0,htru2,ctgan
4242,8772,6.238478899002075,0.8346952421234036,0.971415270018622,0.8867021347746428,0.7886178861788619,0.9619577445774459,0.8834312141538634,0.8892351423514234,0.8208519116715461,,,,0.19334245326037391,0.0,htru2,ctgan
5555,8772,6.503188133239746,0.8561751250281348,0.9745810055865922,0.8886245529498678,0.8262195121951219,0.9683342145921459,0.9041509766077919,0.9078822038220382,0.8429926482576328,,,,0.20337437300501596,0.0,htru2,ctgan
6789,8772,6.4696149826049805,0.8710699232314951,0.9770949720670391,0.8994209641737628,0.8445121951219511,0.972829415794158,0.9145579443493533,0.9174897998979988,0.8590468605318984,,,,0.24065207478340173,0.0,htru2,ctgan
