seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,8776,25465.464480161667,0.8803282946257905,0.9775605214152701,0.8612842130987293,0.9004065040650406,0.9743131806318063,0.941913422859688,0.9428744287442874,0.8682666456759188,,,,0.4538449604385375,0.0,htru2,qualsynth
123,8777,25075.459451198578,0.8848876766249284,0.9786778398510242,0.8757113243647616,0.894308943089431,0.9753863163631636,0.9395976089687713,0.9407481574815749,0.8732136768458266,,,,0.4560191198628358,0.0,htru2,qualsynth
456,8764,0.0,0.8728240946258724,0.9771880819366853,0.8921083739878911,0.8546747967479674,0.9706464252142522,,,,,,,1.0,0.0,htru2,qualsynth
789,8775,19423.126347064972,0.8901225483638395,0.9798882681564246,0.8910257466689485,0.8892276422764228,0.9782982204822049,0.9377962942792574,0.939130016300163,0.8790562035988309,,,,0.47370978190455626,0.0,htru2,qualsynth
1234,8779,21197.59557914734,0.8780738733313259,0.9778398510242085,0.8853912601626016,0.8709349593495935,0.9790582280822808,0.9279097645780805,0.9297786727867279,0.8659407469141224,,,,0.46302742616033754,0.0,htru2,qualsynth
2024,8774,26129.135694742203,0.8579216946777067,0.9729981378026071,0.8289857283542795,0.8892276422764228,0.975880383803838,0.9341930061163805,0.9353374783747839,0.8437375417477018,,,,0.47414212375033776,0.0,htru2,qualsynth
3141,8775,16522.76796603203,0.8914418168261133,0.9803538175046554,0.9031653122505762,0.8800813008130081,0.9838135881358813,0.9336434431128753,0.9352743527435274,0.8807520249936033,,,,0.6497112394491337,0.0,htru2,qualsynth
4242,8775,23725.966413974762,0.8517269889490654,0.9731843575418995,0.8633429521933506,0.8404471544715447,0.9635283852838529,0.9105819508280728,0.9135097600976009,0.8370890983552863,,,,0.4752491334488735,0.0,htru2,qualsynth
5555,8776,21753.792932987213,0.8653863866629824,0.9751396648044693,0.8589527790146287,0.8719512195121952,0.9711062735627355,0.9270091517718141,0.928749287492875,0.8517320198640191,,,,0.49397725993470676,0.0,htru2,qualsynth
6789,8779,6013.1204171180725,0.878324192271314,0.9773743016759777,0.8657691167465997,0.891260162601626,0.974990374903749,0.9374622301774518,0.938660011600116,0.86596880917651,,,,1.8493785548767643,0.0,htru2,qualsynth
