seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,8772,8.775643110275269,0.7609404784472033,0.9445065176908752,0.6529067083072443,0.9268292682926829,0.9750391253912539,0.9363352650384016,0.936559365593656,0.748709319232339,,,,0.5208618331053352,0.30449156406748745,htru2,tabfairgdt
123,8772,8.50295901298523,0.7835196947170299,0.9513966480446926,0.6902850292061739,0.9207317073170732,0.9755238177381774,0.9372805965300118,0.937610626106261,0.7706102324805074,,,,0.47594619243046055,0.33105335157318744,htru2,tabfairgdt
456,8772,8.695581912994385,0.7549005514630878,0.9413407821229051,0.6557881072622749,0.915650406504065,0.9691334413344134,0.929372393584765,0.9297911729117292,0.7424342228991216,,,,0.49338805289557686,0.3375512995896033,htru2,tabfairgdt
789,8772,8.737482786178589,0.785858802445916,0.9512104283054005,0.693049986757113,0.9258130081300813,0.9768710187101871,0.9394599113211326,0.9397925229252292,0.7739424171610826,,,,0.49749202006383947,0.32694938440492477,htru2,tabfairgdt
1234,8772,8.595600843429565,0.7863742011502718,0.9527932960893856,0.6959833136303724,0.9166666666666666,0.9787685376853769,0.9361589149589177,0.9365518655186551,0.7728900561767397,,,,0.5015959872321022,0.3144094847241222,htru2,tabfairgdt
2024,8772,8.701766967773438,0.7547138567700427,0.9431098696461825,0.6485716981259224,0.9176829268292684,0.9756991319913199,0.931389255305643,0.9316786917869179,0.7414016685870833,,,,0.5003419972640218,0.32136342909256727,htru2,tabfairgdt
3141,8772,8.843725681304932,0.8044227452680756,0.9565176908752329,0.7180156474704401,0.9308943089430896,0.9824223242232423,0.944675010567588,0.9449981999819999,0.7930949943587899,,,,0.5336297309621523,0.29457364341085274,htru2,tabfairgdt
4242,8772,8.59855318069458,0.7769842063885055,0.9515828677839852,0.7077186677151005,0.8790650406504065,0.963870888708887,0.9178280193238737,0.9189810648106481,0.7606594101195672,,,,0.5099179206566348,0.3138394892840857,htru2,tabfairgdt
5555,8772,8.682478189468384,0.7596141879160107,0.943389199255121,0.6583828853895997,0.9186991869918698,0.9723025355253553,0.9319770733357565,0.932289322893229,0.7469247446213517,,,,0.46591427268581853,0.34040127678978566,htru2,tabfairgdt
6789,8772,8.724132061004639,0.7511964634638927,0.940875232774674,0.643762933592891,0.9217479674796749,0.9738519260192602,0.9320123858016042,0.9322761977619777,0.7388056495123254,,,,0.5051299589603283,0.3225034199726402,htru2,tabfairgdt
