seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,140,2.838186025619507,0.5959020749125452,0.712121212121212,0.5876985396013218,0.6049382716049383,0.792469135802469,0.6823662437425281,0.687469135802469,0.37279685714710115,,,,0.6714285714285714,0.0,pima_diabetes,ctgan
123,140,1.9598610401153564,0.6660672678857477,0.7813852813852815,0.7202741702741703,0.6234567901234568,0.8482098765432099,0.7339489443483949,0.7450617283950618,0.5098744194275739,,,,0.7142857142857143,0.0,pima_diabetes,ctgan
456,140,1.9234261512756348,0.6679522497704315,0.7554112554112554,0.6434198057332385,0.6975308641975309,0.8216666666666667,0.740150639439829,0.7420987654320989,0.47754418718994107,,,,0.8357142857142857,0.0,pima_diabetes,ctgan
789,140,1.9071671962738037,0.5862652180613346,0.7142857142857143,0.593973221472497,0.5802469135802469,0.7821604938271606,0.6745906240522684,0.6834567901234568,0.368944410736422,,,,0.9285714285714286,0.0,pima_diabetes,ctgan
1234,140,1.9336981773376465,0.651932924074517,0.7380952380952381,0.6099461273538744,0.7037037037037037,0.800679012345679,0.7282283072345258,0.7301851851851852,0.4486530724091737,,,,0.95,0.0,pima_diabetes,ctgan
2024,140,1.8847229480743408,0.6578138528138529,0.761904761904762,0.6647658313700293,0.654320987654321,0.8494444444444444,0.7315317059893941,0.7371604938271604,0.47700697691427,,,,0.8071428571428572,0.0,pima_diabetes,ctgan
3141,140,1.9169609546661377,0.6771742594820229,0.7792207792207791,0.6960613765109951,0.6604938271604938,0.8558641975308641,0.7460476630830604,0.7519135802469136,0.5106278337085565,,,,0.8642857142857143,0.0,pima_diabetes,ctgan
4242,140,1.9320282936096191,0.6909185091003271,0.7597402597402597,0.6298665403143016,0.7654320987654323,0.842037037037037,0.7609633837411871,0.7610493827160494,0.5039615795097486,,,,0.5928571428571429,0.0,pima_diabetes,ctgan
5555,140,1.9358022212982178,0.7205337862967466,0.8138528138528138,0.7611721611721612,0.6851851851851851,0.8930246913580246,0.7776195810405803,0.7842592592592593,0.5839956130345555,,,,0.85,0.0,pima_diabetes,ctgan
6789,140,1.9083988666534424,0.6241089802273813,0.7186147186147186,0.5868676612252337,0.6666666666666666,0.794567901234568,0.7053698654861159,0.7066666666666667,0.4029248459145029,,,,0.8214285714285714,0.0,pima_diabetes,ctgan
