seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,145,187.92160987854004,0.6355508870214752,0.735930735930736,0.6152580572458869,0.6604938271604938,0.8178395061728394,0.7148240607804107,0.7185802469135801,0.43127006721855426,,,,0.7474226804123711,0.0,pima_diabetes,qualsynth
123,140,176.30527305603027,0.6641105519610192,0.7662337662337663,0.6687013130310051,0.6604938271604938,0.8538888888888888,0.7369515103053431,0.7419135802469136,0.48535770497276437,,,,0.7954545454545454,0.0,pima_diabetes,qualsynth
456,140,121.44482517242432,0.6486485236866684,0.7424242424242423,0.6214005831966466,0.6790123456790124,0.8211728395061728,0.725923017376127,0.7278395061728395,0.4473846242495813,,,,0.9395973154362416,0.0,pima_diabetes,qualsynth
789,141,139.78231716156006,0.5604210396445448,0.712121212121212,0.6049322275639457,0.5246913580246914,0.7770987654320988,0.6523232691380151,0.6690123456790124,0.35130516990014216,,,,0.88125,0.0,pima_diabetes,qualsynth
1234,141,158.63471221923828,0.6597864685543408,0.7424242424242425,0.6131799691552073,0.7160493827160493,0.8214814814814814,0.7351314441530672,0.736358024691358,0.45918894083935635,,,,0.8011363636363636,0.0,pima_diabetes,qualsynth
2024,140,149.13144612312317,0.6782857491778539,0.777056277056277,0.6855365488370415,0.6728395061728394,0.868395061728395,0.7481288563362384,0.7530864197530863,0.5086813786490353,,,,0.8092485549132948,0.0,pima_diabetes,qualsynth
3141,140,160.0977759361267,0.7217273217273218,0.7965367965367965,0.6937830687830687,0.7530864197530865,0.8727160493827161,0.7854929709973358,0.7865432098765432,0.5635832499823173,,,,0.8284023668639053,0.0,pima_diabetes,qualsynth
4242,145,179.84108686447144,0.6643375197934969,0.7294372294372294,0.5871510669688409,0.7654320987654321,0.8385802469135802,0.7368551500133291,0.7377160493827161,0.45555008277678755,,,,0.9235668789808917,0.0,pima_diabetes,qualsynth
5555,142,155.84012722969055,0.6997807776623975,0.7943722943722945,0.7159620312136036,0.6851851851851852,0.8880864197530864,0.7642659290090367,0.7692592592592593,0.5442982822598276,,,,0.7802197802197802,0.0,pima_diabetes,qualsynth
6789,140,133.9419949054718,0.6293292713171009,0.7229437229437229,0.5919071873231466,0.6728395061728395,0.8000000000000002,0.7098063740814305,0.7114197530864197,0.41225417782298335,,,,0.9090909090909091,0.0,pima_diabetes,qualsynth
