seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,140,0.8307709693908691,0.6515325670498084,0.7337662337662337,0.6022436345016989,0.7098765432098766,0.8224691358024692,0.7279438316587933,0.7282716049382717,0.44249554398317975,,,,0.8785714285714286,0.0,pima_diabetes,smote
123,140,0.689749002456665,0.7074621791602924,0.7922077922077921,0.6997300944669366,0.7160493827160493,0.8488271604938271,0.772352003052739,0.7746913580246914,0.5468337088988912,,,,0.9285714285714286,0.0,pima_diabetes,smote
456,140,0.6846218109130859,0.6647342995169082,0.7489177489177489,0.6251105906843611,0.7098765432098766,0.8230864197530864,0.7392821960206103,0.7399382716049382,0.4678244424879272,,,,0.95,0.0,pima_diabetes,smote
789,140,0.7017152309417725,0.6005673571711307,0.722943722943723,0.6094505494505494,0.5925925925925926,0.773888888888889,0.6855414857199067,0.6929629629629629,0.38896955310800047,,,,0.9642857142857143,0.0,pima_diabetes,smote
1234,140,0.6962642669677734,0.6450892200958345,0.7316017316017316,0.6001898330824824,0.6975308641975309,0.8024691358024691,0.7229363380872944,0.7237654320987654,0.4345371240424563,,,,0.9642857142857143,0.0,pima_diabetes,smote
2024,140,0.7276310920715332,0.6979765046835377,0.7835497835497836,0.68252464827739,0.7160493827160493,0.8596913580246914,0.7655602712273372,0.7680246913580248,0.5308407609438538,,,,0.9785714285714285,0.0,pima_diabetes,smote
3141,140,0.7430191040039062,0.707822458486953,0.7943722943722943,0.705889079473985,0.7098765432098765,0.8663580246913579,0.7721483327622062,0.7749382716049382,0.5492533698864719,,,,0.9142857142857143,0.0,pima_diabetes,smote
4242,140,0.7105839252471924,0.6753568151945046,0.7380952380952381,0.5969916733816815,0.7777777777777778,0.8446913580246913,0.7464107563816674,0.7472222222222222,0.47376711532587107,,,,0.9642857142857143,0.0,pima_diabetes,smote
5555,140,0.7418889999389648,0.714995631280035,0.7965367965367965,0.7022988505747126,0.7283950617283951,0.8880864197530864,0.7789925091474895,0.7808641975308642,0.5572297987007943,,,,0.9357142857142857,0.0,pima_diabetes,smote
6789,140,0.7058570384979248,0.6546847034651914,0.7380952380952381,0.6091920622813072,0.7098765432098766,0.8077160493827161,0.7304312236445337,0.7316049382716049,0.4503975952563548,,,,0.9142857142857143,0.0,pima_diabetes,smote
