seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,140,0.9025669097900391,0.6423089756423089,0.7380952380952381,0.616575107803178,0.6728395061728394,0.8187654320987655,0.7203718137393356,0.7230864197530864,0.43876713458906896,,,,0.5571428571428572,0.37857142857142856,pima_diabetes,tabfairgdt
123,140,0.9583389759063721,0.6911314984709481,0.7813852813852814,0.6848484848484849,0.6975308641975309,0.8524691358024691,0.7593541859786402,0.7620987654320986,0.5220269313506027,,,,0.5928571428571429,0.35714285714285715,pima_diabetes,tabfairgdt
456,140,0.9059717655181885,0.6662833872320039,0.7424242424242423,0.6101459913547019,0.7345679012345679,0.8290123456790122,0.740245686592418,0.7406172839506172,0.4651378261085492,,,,0.65,0.2642857142857143,pima_diabetes,tabfairgdt
789,140,0.9542391300201416,0.5967246157722349,0.7294372294372294,0.6235723245527168,0.5740740740740741,0.7811111111111111,0.6822487075312145,0.6937037037037038,0.39546164456852256,,,,0.5785714285714286,0.32142857142857145,pima_diabetes,tabfairgdt
1234,140,0.9013988971710205,0.6545601291364003,0.7445887445887447,0.6221264367816092,0.6913580246913581,0.8084567901234568,0.7308295799444563,0.7323456790123458,0.4548644125247516,,,,0.5714285714285714,0.37142857142857144,pima_diabetes,tabfairgdt
2024,140,0.992811918258667,0.6609875848265941,0.761904761904762,0.6581349206349206,0.6666666666666666,0.8603703703703705,0.7350857331394162,0.7399999999999999,0.47899072261912706,,,,0.6571428571428571,0.2857142857142857,pima_diabetes,tabfairgdt
3141,140,0.9296219348907471,0.6783362089757147,0.7683982683982684,0.6614587860350573,0.6975308641975309,0.8638888888888889,0.7496422044543319,0.7520987654320987,0.49877717681016787,,,,0.5357142857142857,0.37857142857142856,pima_diabetes,tabfairgdt
4242,140,0.9561560153961182,0.6734172496508548,0.7445887445887447,0.6092488193092508,0.7530864197530865,0.8325308641975308,0.7461804838082967,0.7465432098765432,0.47483317550972853,,,,0.5928571428571429,0.34285714285714286,pima_diabetes,tabfairgdt
5555,140,0.9519088268280029,0.7110832487325478,0.7965367965367965,0.7066862961599804,0.7160493827160493,0.8806172839506172,0.7752220874959419,0.7780246913580248,0.554378704327719,,,,0.6214285714285714,0.2714285714285714,pima_diabetes,tabfairgdt
6789,140,0.9165961742401123,0.6626273558091741,0.7380952380952381,0.6057476029812623,0.7345679012345679,0.8117901234567902,0.736249937468224,0.7372839506172838,0.4592678834564243,,,,0.6,0.3,pima_diabetes,tabfairgdt
