seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,1985,8.32706904411316,0.29623376945926344,0.38145695364238413,0.2667994378744246,0.8768115942028986,0.8513419594857016,0.3603820822279569,0.6130649414361931,0.23506818615822464,,,,0.7168765743073048,0.0,thyroid,ctgan
123,1985,5.763948917388916,0.11736037961478768,0.32626931567328915,0.07184284652561458,0.7246376811594203,0.6968224279961571,0.17678005221116325,0.5125304061650415,0.02734224626985571,,,,0.9410579345088161,0.0,thyroid,ctgan
456,1985,5.862905025482178,0.09359528935864814,0.3474613686534216,0.06143958945683083,0.6739130434782609,0.6434557756382739,0.1268653914724495,0.5000970953169396,0.002414438672838538,,,,0.8997481108312343,0.0,thyroid,ctgan
789,1985,5.815607070922852,0.12828232468703335,0.21236203090507724,0.06879239618807055,0.9492753623188405,0.6768259029864475,0.39459376468312035,0.5569131865660965,0.07256030965467036,,,,0.9062972292191436,0.0,thyroid,ctgan
1234,1985,5.81131911277771,0.7649572649572649,0.9682119205298013,0.703448275862069,0.8405797101449274,0.9575744567772532,0.9052152188786783,0.9085362114429386,0.7520524854999917,,,,0.7879093198992443,0.0,thyroid,ctgan
2024,1985,5.76682186126709,0.11919082986948622,0.09845474613686533,0.06337657694182329,1.0,0.66940577666033,0.17817601182263362,0.5199811941701928,0.04523420647273959,,,,0.9581863979848867,0.0,thyroid,ctgan
3141,1985,5.826045989990234,0.0,0.9390728476821192,0.0,0.0,0.7715347192412256,0.0,0.5,0.0,,,,0.9753148614609571,0.0,thyroid,ctgan
4242,1985,5.755240201950073,0.8487729234088458,0.9796909492273732,0.7837426900584795,0.927536231884058,0.988041945176918,0.9544268256629206,0.9553054925287708,0.8418767119765879,,,,0.9889168765743073,0.0,thyroid,ctgan
5555,1985,5.8853981494903564,0.11794731052635998,0.0878587196467991,0.06267309598907385,1.0,0.6340119784959425,0.14261989753220214,0.5143394452280207,0.03605379887357704,,,,0.947103274559194,0.0,thyroid,ctgan
6789,1985,5.9339118003845215,0.0,0.9364238410596025,0.0,0.0,0.36901330716870057,0.0,0.498589562764457,-0.007599224238098119,,,,0.9239294710327456,0.0,thyroid,ctgan
