seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,1993,11823.66611790657,0.15524454081520905,0.6503311258278145,0.32333935380292994,0.4057971014492754,0.8051705811410234,0.15530782607364377,0.5359968111853806,0.1437186896185322,,,,0.6010253317249699,0.0,thyroid,qualsynth
123,1985,11207.903674125671,0.03842940685045948,0.6476821192052981,0.020390070921985814,0.3333333333333333,0.8124987224300403,0.021682844490080313,0.5007052186177715,0.005362733935571647,,,,0.6061068702290077,0.0,thyroid,qualsynth
456,1985,13366.481571912766,0.03842940685045948,0.6476821192052981,0.020390070921985814,0.3333333333333333,0.6891212362788988,0.021682844490080313,0.5007052186177715,0.005362733935571647,,,,0.5686049842452019,0.0,thyroid,qualsynth
789,1985,12977.664011001587,0.11970269230971835,0.10066225165562914,0.06367574565552955,1.0,0.7167576296477995,0.11876183038093586,0.5211565585331454,0.031235249230812296,,,,0.4618427175430433,0.0,thyroid,qualsynth
1234,1994,11820.437936306,0.6845734549559844,0.9479028697571744,0.6068208836932831,0.8260869565217391,0.967743913656712,0.8883766907685207,0.8909466282373623,0.6761170707404647,,,,0.4912540034491254,0.0,thyroid,qualsynth
2024,1985,12249.37941789627,0.11839900963940397,0.09094922737306843,0.06293185833128052,1.0,0.6645765622125468,0.11498772141597147,0.5159849553361542,0.029587908847093114,,,,0.5036792692210099,0.0,thyroid,qualsynth
3141,1989,12280.74770617485,0.17185929648241208,0.6525386313465784,0.30615873015873013,0.4202898550724638,0.7514922017129658,0.19800343965709144,0.5439484066147462,0.1563542791847403,,,,0.5902077151335312,0.0,thyroid,qualsynth
4242,1986,11701.83241200447,0.7630195768114824,0.9532008830022075,0.6460997067448679,0.9927536231884058,0.9915475971464197,0.9712950062323097,0.9716941599722002,0.7724086929439585,,,,0.5175918686473807,0.0,thyroid,qualsynth
5555,1991,10807.83063173294,0.11835115279379431,0.09050772626931568,0.06290492325068021,1.0,0.6102031847263957,0.10246912531282681,0.5157498824635637,0.0264958420265092,,,,0.5365130692535705,0.0,thyroid,qualsynth
6789,1985,14317.259649038315,0.03842940685045948,0.6476821192052981,0.020390070921985814,0.3333333333333333,0.7396925655648904,0.021682844490080313,0.5007052186177715,0.005362733935571647,,,,0.5189542483660131,0.0,thyroid,qualsynth
