seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,1985,5.456557035446167,0.04325340855665256,0.6869757174392936,0.023127199597787834,0.3333333333333333,0.7421199484883793,0.12007415563816187,0.5216267042783262,0.0316279972962938,,,,0.6599496221662469,0.33249370277078083,thyroid,tabfairgdt
123,1985,5.422789096832275,0.03833333333333334,0.6467991169977925,0.020335985853227233,0.3333333333333333,0.7853273645264814,0.012518596103144661,0.5002350728725905,0.0030920668205839143,,,,0.6503778337531486,0.33299748110831234,thyroid,tabfairgdt
456,1985,5.443009853363037,0.039265898420828,0.655187637969095,0.020861678004535148,0.3333333333333333,0.6967866560372847,0.055984863738990864,0.50470145745181,0.014005733933763259,,,,0.7244332493702771,0.26297229219143575,thyroid,tabfairgdt
789,1985,5.465206861495972,0.05690675600223339,0.687858719646799,0.032423565545162646,0.32608695652173914,0.6197287463461499,0.2359078318752913,0.5187087344903006,0.00977159530199602,,,,0.7047858942065491,0.2785894206549118,thyroid,tabfairgdt
1234,1985,5.491856813430786,0.6752685216937316,0.9381898454746137,0.6072322964125155,0.8333333333333334,0.9643813495226997,0.8869734447315354,0.8891631405735779,0.6704872591138621,,,,0.7229219143576826,0.2654911838790932,thyroid,tabfairgdt
2024,1985,5.446676969528198,0.08096017077952966,0.3894039735099337,0.043100557447026754,0.6666666666666666,0.617439340978312,0.15406165353319332,0.5190409026798307,0.03322424904848325,,,,0.6790931989924434,0.3128463476070529,thyroid,tabfairgdt
3141,1985,5.442612171173096,0.038314176245210725,0.6534216335540839,0.0203527815468114,0.32608695652173914,0.6491435170989963,0.05105137331993361,0.5003730504282414,0.0011698483732622091,,,,0.671536523929471,0.3279596977329975,thyroid,tabfairgdt
4242,1985,5.619230031967163,0.7275292608625942,0.9395143487858718,0.6058830441330225,0.9927536231884058,0.9904948794996015,0.9636093673405761,0.9644069009218944,0.7399857454121213,,,,0.6508816120906801,0.34357682619647356,thyroid,tabfairgdt
5555,1985,5.562880039215088,0.05458194866551159,0.6397350993377483,0.03025839793281654,0.34057971014492755,0.58396700803336,0.22573350745445864,0.4998620224443491,0.0010999222805828147,,,,0.7042821158690177,0.2801007556675063,thyroid,tabfairgdt
6789,1985,5.648633003234863,0.05146618791143028,0.7514348785871965,0.028049575994781473,0.3115942028985507,0.7970554567568119,0.18789683334349414,0.54578299707692,0.04683072542372413,,,,0.6599496221662469,0.326448362720403,thyroid,tabfairgdt
