seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,2365,5.941549062728882,0.5190323554778257,0.8230769230769232,0.5645149459013387,0.4817708333333333,0.8122318506545337,0.6609120532925439,0.6942698355683269,0.41396852499206443,,,,0.8109936575052854,0.0,wine_quality,ctgan
123,2365,5.081921100616455,0.49382312836929043,0.7861538461538462,0.46769574029615635,0.5260416666666666,0.8054021491858238,0.66858427666365,0.687988904853129,0.3610966249487293,,,,0.9264270613107822,0.0,wine_quality,ctgan
456,2365,4.952651023864746,0.4929774420198875,0.8020512820512821,0.5129787479380756,0.48046875,0.7995677183109834,0.6503807144742532,0.6806877594189018,0.37303019307325463,,,,0.6913319238900634,0.0,wine_quality,ctgan
789,2365,5.161503076553345,0.4968274600480586,0.7784615384615384,0.46876112350754856,0.546875,0.8052256695003193,0.6732321877618542,0.691062021072797,0.3653620325361418,,,,0.8811839323467231,0.0,wine_quality,ctgan
1234,2365,5.066704988479614,0.5253130390464616,0.818974358974359,0.5588341234890378,0.5065104166666666,0.8311295198754789,0.6716901047099132,0.7010521431992337,0.41933085678785886,,,,0.8274841437632136,0.0,wine_quality,ctgan
2024,2365,5.10797119140625,0.5351540253378749,0.8025641025641027,0.5115175467341074,0.57421875,0.8282372485632185,0.6999848797969846,0.7163877913473818,0.41688624660288315,,,,0.9386892177589852,0.0,wine_quality,ctgan
3141,2365,5.22286319732666,0.5222854275572634,0.8143589743589743,0.5369675638725343,0.51171875,0.8146626556513409,0.6741850591861852,0.7001441770434228,0.40873430676344724,,,,0.9019027484143763,0.0,wine_quality,ctgan
4242,2365,5.125763893127441,0.48634808660365403,0.7871794871794872,0.4781007002116155,0.5065104166666666,0.7940051784003831,0.6570408061941957,0.6812564854725415,0.3574234775068131,,,,0.9124735729386892,0.0,wine_quality,ctgan
5555,2365,5.037577867507935,0.5186512116339347,0.7951282051282051,0.4909194901932333,0.5559895833333334,0.8245804398148148,0.6884125793359629,0.7048785719987228,0.3929659119197679,,,,0.8190274841437633,0.0,wine_quality,ctgan
6789,2365,5.10692572593689,0.5225799266402803,0.8046153846153846,0.5135954183016194,0.5364583333333334,0.8306031988346104,0.6832351789789524,0.7034143518518517,0.4018988354464195,,,,0.9365750528541226,0.0,wine_quality,ctgan
