seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,2369,4623.199620962143,0.546028595098993,0.8089743589743591,0.591900459160032,0.5598958333333334,0.8406332315613027,0.6893042506006269,0.71497345945083,0.45070208975668785,,,,0.7021339656194427,0.0,wine_quality,qualsynth
123,2368,4280.70947098732,0.5385645897154848,0.7974358974358976,0.5528538544987313,0.5833333333333334,0.8505971623563218,0.6928087577082532,0.7166347381864623,0.43637341855842693,,,,0.6972909305064782,0.0,wine_quality,qualsynth
456,2368,4274.925408840179,0.5326618528659512,0.8102564102564102,0.5763921089208442,0.5559895833333334,0.851003751596424,0.6817352158481015,0.7142974736590039,0.44245038496213035,,,,0.7077106993424985,0.0,wine_quality,qualsynth
789,2366,4083.565845012665,0.5574410345893516,0.8146153846153847,0.5888493967456577,0.5846354166666666,0.8601956617177522,0.7025231746729816,0.727822178320562,0.4659921322172133,,,,0.7304723680148194,0.0,wine_quality,qualsynth
1234,2365,5477.9436638355255,0.5452090716834432,0.8094871794871795,0.5798461394158645,0.56640625,0.861328125,0.6918202582671125,0.7177497405810983,0.4491084972190318,,,,0.7063918757467145,0.0,wine_quality,qualsynth
2024,2372,3609.0841352939606,0.5395280487612532,0.811025641025641,0.5876395653084105,0.5598958333333334,0.8674456716954023,0.6858090808382951,0.7162505986590039,0.44989418677887305,,,,0.7076372315035799,0.0,wine_quality,qualsynth
3141,2367,3790.888901948929,0.5470609781996653,0.813076923076923,0.5948459018390977,0.5611979166666666,0.8550122725095785,0.6907236732763193,0.7180191371328224,0.45543714965820387,,,,0.682329201498991,0.0,wine_quality,qualsynth
4242,2365,1381.8394389152527,0.5282659881193686,0.8035897435897436,0.5748716671300702,0.5533854166666666,0.8464140325670497,0.6776544906455658,0.7091639727011495,0.43547150213033414,,,,2.09849157054126,0.0,wine_quality,qualsynth
5555,2365,4147.161344051361,0.521545564894732,0.806923076923077,0.570983422538312,0.5364583333333334,0.8569466894157087,0.6710741222281071,0.7048511334610472,0.4277514268106011,,,,0.696817913965822,0.0,wine_quality,qualsynth
6789,2370,3839.214375972748,0.5545797720133507,0.8123076923076923,0.5786249122371326,0.5846354166666666,0.8545944584131545,0.7022085686041515,0.7263853967113665,0.45970463792176397,,,,0.6931851418543433,0.0,wine_quality,qualsynth
