seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,2365,3.2035021781921387,0.5732799816899686,0.7861538461538462,0.4892297477579513,0.7109375,0.8444297274106002,0.7543640414529985,0.7577676005747126,0.458107055196328,,,,0.7632135306553911,0.2105708245243129,wine_quality,tabfairgdt
123,2365,3.225564956665039,0.5740583158095943,0.7715384615384616,0.46420910064942733,0.7643229166666666,0.856937958971903,0.767739801245552,0.7688153536079182,0.460168086250941,,,,0.7767441860465116,0.1970401691331924,wine_quality,tabfairgdt
456,2365,3.161466121673584,0.5921805135166652,0.7905128205128206,0.49360945959411434,0.7565104166666666,0.8562445122924648,0.7755388825324068,0.7776804956896551,0.4849345675165994,,,,0.7771670190274842,0.18689217758985202,wine_quality,tabfairgdt
789,2365,3.1415460109710693,0.5952952080711698,0.7971794871794872,0.5074523870595943,0.73828125,0.8643762970945081,0.772129908546299,0.7749516083971902,0.4880776152129574,,,,0.7784355179704017,0.18773784355179704,wine_quality,tabfairgdt
1234,2365,3.163862943649292,0.5872860129474942,0.7956410256410257,0.5079318663169948,0.71875,0.8650460468550447,0.7624480050381534,0.7666227650063857,0.4780639408650608,,,,0.7496828752642706,0.21775898520084566,wine_quality,tabfairgdt
2024,2365,3.18292498588562,0.6029278411431754,0.8046153846153846,0.5212622760580189,0.7356770833333334,0.8712920557950191,0.7749408741188614,0.77859843949553,0.49910496455703984,,,,0.7378435517970402,0.22071881606765328,wine_quality,tabfairgdt
3141,2365,3.1435132026672363,0.5825351136416979,0.7876923076923076,0.48990241202854684,0.7330729166666666,0.8549848339719031,0.7651304276770524,0.767079242496807,0.4697987975384314,,,,0.7708245243128964,0.19577167019027483,wine_quality,tabfairgdt
4242,2365,3.234005928039551,0.5599507500766813,0.7784615384615385,0.47928653248240877,0.6966145833333334,0.8459488246328225,0.7429359623813342,0.7475729366219669,0.4410869837356439,,,,0.7640591966173361,0.2029598308668076,wine_quality,tabfairgdt
5555,2365,3.1901230812072754,0.5928343512598682,0.797948717948718,0.5092653110942141,0.7252604166666666,0.8622049109993615,0.767939678001056,0.7705165429438058,0.4832045799658616,,,,0.735306553911205,0.22494714587737843,wine_quality,tabfairgdt
6789,2365,3.1645889282226562,0.5782742420035136,0.7856410256410257,0.4910250353154832,0.7252604166666666,0.8574343470625797,0.7594621067534167,0.7628537076947636,0.46551145934025495,,,,0.7361522198731502,0.23636363636363636,wine_quality,tabfairgdt
