seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,828,2.4521570205688477,0.3826210826210827,0.9270482603815937,0.2702033598585323,0.6666666666666666,0.932288037166086,0.7893043457886185,0.8013937282229966,0.3933466494257177,,,,0.5869565217391305,0.0,yeast,ctgan
123,828,1.60990309715271,0.2761206896551724,0.9304152637485972,0.21259968102073365,0.4000000000000001,0.8157955865272939,0.612566915045557,0.6744483159117305,0.2575247302838832,,,,0.6292270531400966,0.0,yeast,ctgan
456,828,1.5914819240570068,0.34588057445200304,0.9046015712682379,0.2283760683760684,0.7333333333333334,0.9174216027874564,0.8165135174964012,0.8219512195121951,0.37353908964231425,,,,0.6231884057971014,0.0,yeast,ctgan
789,828,1.592228889465332,0.19483678593848086,0.8787878787878788,0.12554112554112554,0.4666666666666666,0.7995354239256679,0.6245002455103634,0.6799070847851336,0.19335444582584374,,,,0.8019323671497585,0.0,yeast,ctgan
1234,828,1.592452049255371,0.2638565891472868,0.8956228956228957,0.178030303030303,0.5333333333333333,0.8952380952380953,0.6952317480754592,0.7207897793263647,0.2645705470614604,,,,0.7016908212560387,0.0,yeast,ctgan
2024,828,1.586371660232544,0.4748148148148148,0.9551066217732885,0.3938375350140056,0.6,0.9392566782810685,0.7618955796845212,0.7837398373983739,0.46382188278584846,,,,0.5471014492753623,0.0,yeast,ctgan
3141,828,1.5906410217285156,0.3602693602693603,0.9416386083052751,0.28793691389599324,0.5,0.8774680603948898,0.6833263690178165,0.728513356562137,0.34905332855922505,,,,0.7463768115942029,0.0,yeast,ctgan
4242,828,1.5669829845428467,0.416005291005291,0.9427609427609428,0.3196672608437314,0.6,0.8134727061556329,0.7568443545352536,0.7773519163763066,0.4109868229655844,,,,0.4722222222222222,0.0,yeast,ctgan
5555,828,1.6294498443603516,0.3665123456790123,0.9405162738496072,0.2928444104914693,0.5,0.9031358885017422,0.691314195761659,0.7279326364692218,0.35274075630456453,,,,0.6594202898550725,0.0,yeast,ctgan
6789,828,1.5817961692810059,0.25396825396825395,0.9472502805836139,0.24242424242424243,0.26666666666666666,0.8310104529616725,0.5067384559985705,0.6188153310104529,0.22696770545436054,,,,0.2536231884057971,0.0,yeast,ctgan
