seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,830,1719.769749879837,0.3502873563218391,0.9102132435465768,0.24646464646464647,0.6666666666666666,0.9154471544715447,0.7793078095590279,0.7926829268292682,0.36510803439812817,,,,0.38748832866479926,0.0,yeast,qualsynth
123,830,2291.538745164871,0.3497251374312844,0.9259259259259259,0.26364522417153996,0.5666666666666667,0.8773519163763067,0.7258625383824774,0.7525551684088269,0.3489279347710154,,,,0.2850274725274725,0.0,yeast,qualsynth
456,829,2314.8328759670258,0.38844086021505375,0.9124579124579123,0.27823102823102824,0.7333333333333333,0.9420441347270616,0.8159659138024423,0.8260162601626017,0.4103708445515666,,,,0.30806391675956896,0.0,yeast,qualsynth
789,828,2075.8080031871796,0.27209876543209877,0.914702581369248,0.20898692810457517,0.43333333333333335,0.8392566782810684,0.6335905620931025,0.6824041811846691,0.2576960943573281,,,,0.3129251700680272,0.0,yeast,qualsynth
1234,828,1715.8326280117035,0.32071951037468277,0.914702581369248,0.2523148148148148,0.5333333333333333,0.8682926829268292,0.6963605941108697,0.7306620209059234,0.31921623183333253,,,,0.3803399173174093,0.0,yeast,qualsynth
2024,829,2027.0479409694672,0.41780045351473927,0.9337822671156005,0.3156288156288156,0.7000000000000001,0.9574912891986064,0.8007645850158432,0.8209639953542393,0.4336467729771525,,,,0.3226936551187232,0.0,yeast,qualsynth
3141,828,1868.184532880783,0.39007744804846256,0.9281705948372615,0.3327505827505827,0.5666666666666667,0.8996515679442508,0.7259090579452955,0.7537166085946573,0.38794259139778714,,,,0.3628396143733567,0.0,yeast,qualsynth
4242,830,4351.502711057663,0.30490665165587766,0.90347923681257,0.2071655809725799,0.6,0.8557491289198605,0.7404839941983425,0.757026713124274,0.3126541368209965,,,,0.34626616604088445,0.0,yeast,qualsynth
5555,830,2053.4141731262207,0.45542380324989024,0.9281705948372615,0.3491182730313165,0.7666666666666666,0.9368176538908246,0.8432763202173481,0.8502322880371661,0.4761893066864156,,,,0.3322658126501201,0.0,yeast,qualsynth
6789,832,2072.6343500614166,0.4140564126538881,0.9349046015712682,0.3220009157509158,0.6333333333333333,0.8767711962833914,0.7728550099851512,0.7893728222996516,0.41649653553381283,,,,0.3532908704883227,0.0,yeast,qualsynth
