seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,828,0.9641053676605225,0.35453805453805454,0.9023569023569022,0.2493395493395493,0.6999999999999998,0.9049941927990708,0.794879811998337,0.8047038327526131,0.37397146123139574,,,,0.9842995169082126,0.0,yeast,smote
123,828,0.8067777156829834,0.34431372549019607,0.9180695847362514,0.25277777777777777,0.6,0.8709639953542393,0.7438941618993126,0.7645760743321718,0.34928564346594954,,,,1.0,0.0,yeast,smote
456,828,0.795414924621582,0.36924646181308174,0.9001122334455669,0.2577581265864243,0.7333333333333334,0.9362369337979094,0.8133586071226094,0.8196283391405342,0.3914518124852229,,,,0.9842995169082126,0.0,yeast,smote
789,828,0.7980952262878418,0.3412698412698412,0.9236812570145904,0.26427179058758005,0.5333333333333333,0.8396051103368176,0.7056585703567628,0.7353077816492452,0.3354661688228205,,,,1.0,0.0,yeast,smote
1234,828,0.7827601432800293,0.2950291088222123,0.9102132435465768,0.21364522417153994,0.5333333333333333,0.8844367015098723,0.6952623672187571,0.7283391405342625,0.2945534120165115,,,,0.9842995169082126,0.0,yeast,smote
2024,828,0.7804059982299805,0.3837703177325819,0.9270482603815937,0.3012489233419466,0.6333333333333333,0.9457607433217189,0.760018526486744,0.785307781649245,0.3933520718990164,,,,0.9794685990338164,0.0,yeast,smote
3141,828,0.7796850204467773,0.3751334858886346,0.9382716049382717,0.3462962962962963,0.5,0.8849012775842043,0.6819986795837578,0.7267711962833913,0.3708977950948853,,,,0.9830917874396136,0.0,yeast,smote
4242,828,0.8126230239868164,0.25018970189701895,0.8978675645342312,0.17043010752688173,0.5,0.8550522648083624,0.6720531274832154,0.7058652729384436,0.24791356358235053,,,,1.0,0.0,yeast,smote
5555,828,0.8479690551757812,0.40820512820512816,0.9315375982042648,0.3125,0.6666666666666666,0.9300813008130082,0.7839207736988899,0.8037166085946574,0.4185731303264777,,,,0.9782608695652174,0.0,yeast,smote
6789,828,0.8349728584289551,0.34062850729517397,0.9292929292929294,0.26190476190476186,0.5333333333333333,0.8796747967479673,0.703279578105723,0.7382113821138211,0.336613774812133,,,,1.0,0.0,yeast,smote
