seed,n_generated,execution_time,f1_score,accuracy,precision,recall,roc_auc,g_mean,balanced_accuracy,mcc,demographic_parity_diff,equalized_odds_diff,max_fairness_violation,validation_rate,duplicate_ratio,dataset,method
42,828,1.1236848831176758,0.3388331475287997,0.9057239057239057,0.2604755178907721,0.6,0.9055749128919861,0.7330584607393794,0.7581881533101046,0.3444492654749384,,,,0.47342995169082125,0.4975845410628019,yeast,tabfairgdt
123,828,1.0691959857940674,0.29259576901086337,0.9203142536475871,0.23680324843115538,0.4666666666666666,0.8825783972125437,0.6477103643891017,0.7013937282229965,0.2860442563776941,,,,0.4444444444444444,0.5519323671497585,yeast,tabfairgdt
456,828,1.1216251850128174,0.33823042816491294,0.9102132435465768,0.3008241758241758,0.5666666666666668,0.9413472706155632,0.6983000601458977,0.7444250871080139,0.3483954423992148,,,,0.47946859903381644,0.49879227053140096,yeast,tabfairgdt
789,828,1.1309618949890137,0.2813555628200937,0.9158249158249158,0.23602638496255515,0.4333333333333333,0.846109175377468,0.6265440010594285,0.6829849012775843,0.2702891637616038,,,,0.4867149758454106,0.5120772946859904,yeast,tabfairgdt
1234,828,1.1332972049713135,0.31666928515318143,0.9090909090909092,0.27797270955165687,0.5,0.8613240418118466,0.6691447378490555,0.7116724738675959,0.31377004104256095,,,,0.4601449275362319,0.5265700483091788,yeast,tabfairgdt
2024,828,1.1792082786560059,0.4054834054834055,0.9236812570145904,0.3470078139889461,0.6333333333333333,0.9469221835075494,0.7570149217215251,0.7835656213704993,0.4150162661569278,,,,0.4420289855072464,0.5446859903381642,yeast,tabfairgdt
3141,828,1.0775508880615234,0.36835748792270534,0.9270482603815937,0.3295707915273133,0.5333333333333333,0.9032520325203253,0.6952538699453772,0.7370499419279907,0.3678627258369707,,,,0.39492753623188404,0.5954106280193237,yeast,tabfairgdt
4242,828,1.1259400844573975,0.23183447376995767,0.8978675645342311,0.1649546106067845,0.4666666666666666,0.859349593495935,0.6302037848037717,0.6897793263646923,0.22918445450570188,,,,0.42391304347826086,0.5748792270531401,yeast,tabfairgdt
5555,828,1.1412959098815918,0.44282025653839746,0.9292929292929294,0.3573717948717949,0.7000000000000001,0.9416957026713124,0.8018163526917772,0.8186411149825784,0.4552380411041465,,,,0.5144927536231884,0.47101449275362317,yeast,tabfairgdt
6789,828,1.135200023651123,0.29325236167341434,0.9270482603815937,0.26296296296296295,0.43333333333333335,0.8790940766550522,0.6171739156956054,0.6887921022067364,0.28770506708768223,,,,0.45893719806763283,0.5217391304347826,yeast,tabfairgdt
